,a_fwhm,a_height,b_fwhm,b_height,g_fwhm,g_height,d_fwhm,d_height,teff,logg
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,14433.0,7.947
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,13724.0,7.879
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,14433.0,7.947
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,13724.0,7.879
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,14433.0,7.947
0,85.62762969888033,0.3901597549767269,79.25430984215551,0.5380818950381862,62.81989921518582,0.5254105498678612,49.12971818741758,0.5075718490896127,13724.0,7.879
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,18218.0,8.378
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,17383.0,8.454
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,18218.0,8.378
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,17383.0,8.454
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,18218.0,8.378
0,97.49695276908467,0.3541240580904509,85.3538653844023,0.4906636571976123,66.47167051378554,0.4763293912393961,50.12251620206372,0.4490854146270515,17383.0,8.454
0,74.79093078800616,0.3364840790533379,62.011183189257345,0.47884598412947854,53.11818436219688,0.48156661862425343,44.30217318891414,0.43559966727905575,19868.0,7.883
0,85.8641703980973,0.40547012713250213,67.53284935042589,0.542351825918819,54.25739150125742,0.5643189792953021,41.38226254795481,0.5467930940044066,11860.0,7.957
0,88.70613229395573,0.3770189704768355,81.4158989320058,0.5062971841219553,58.90180377717593,0.5162498816198262,43.21552622549477,0.4983124422578147,16822.0,8.146
0,87.20240084490746,0.410071537193991,70.55871962463922,0.5151136995806973,51.94783591338853,0.550152749773477,35.978804494600496,0.5515230445046231,11624.0,8.169
0,92.28522720116749,0.39813990208597916,77.34805103245681,0.5210113915019223,53.09623489935079,0.5445084789290189,48.89974204984596,0.5029573392938196,11787.0,8.078
0,77.12110775942764,0.42459772433438264,72.21689920295607,0.5255656412069158,49.68014661891164,0.5665240051027101,43.76168369736407,0.5076344235280853,11825.0,8.129
0,93.56234865875862,0.3815167915028339,80.5554810141154,0.5331402406668326,61.989100923448376,0.5251129317340245,41.85751584337347,0.5311142347266193,14421.0,7.92
0,93.56234865875862,0.3815167915028339,80.5554810141154,0.5331402406668326,61.989100923448376,0.5251129317340245,41.85751584337347,0.5311142347266193,14421.0,7.92
0,51.71171903105474,0.4138998215983269,49.492103098665375,0.49698706030394996,28.80613770037779,0.5517017115476847,24.017612319944128,0.5521747740242999,9592.0,7.943
0,94.75103213475836,0.3978045413642212,76.87321965424675,0.5060812706403265,56.20124141204145,0.5279608913389688,41.58573566851981,0.5091454491323495,11770.0,8.313
0,81.13404043972122,0.3616599373636703,69.34457013814975,0.5080363112062067,60.50486807817296,0.48224280923188284,47.680425914891494,0.48261673442434666,16949.0,7.747
0,59.18179479892794,0.3132222767681875,60.29615341059391,0.41521276520671635,38.61076507905331,0.43917994393160437,44.53176558393437,0.3589228771732702,26621.0,7.949
0,56.92467724305097,0.3243189999066557,62.6796156508776,0.41966203112469475,44.66983823699217,0.4362437922988244,41.64772144689835,0.402820814109196,24662.0,7.893
0,63.01938071244675,0.350650023809184,69.00176468848682,0.4509757264735335,52.88161836588262,0.467154901711415,46.46570669164615,0.4519588663037501,20964.0,8.015
0,81.19178776686157,0.3915070776951775,78.17925760124677,0.5171840914938837,63.68585431688128,0.5223110597509133,49.68848845726376,0.5043507934811042,13167.0,8.0
0,79.77767713602609,0.4179346028363319,71.40089069421333,0.5029322470894435,43.94081042168749,0.548633322352752,39.73323260984958,0.48994886675347826,11057.0,8.414
0,50.32823789267954,0.42410728555433563,45.361537509519266,0.49434185422877003,34.83114993819136,0.5323193152833503,29.070083827560104,0.5212312855923875,9729.0,7.959
0,16.118588081706285,0.32131320464356805,399.59857774981924,7.826742250393576e-10,6.803177245352571,0.20184235842917259,161.41678105339466,0.03175962837094177,6233.0,8.286
0,87.01763113077885,0.3904131456926901,78.20484005533163,0.5154914452595408,60.71879486591389,0.5105517361240693,46.68239795912643,0.501184024664239,12013.0,8.236
0,29.369124209943102,0.4201622934499976,16.439965014365495,0.48929814959416423,14.98475250316667,0.48119723473526854,13.549740490020326,0.45464859124698576,8088.0,7.938
0,72.20295122261456,0.3476348707592168,70.21751235144237,0.4611956070055641,50.61825273950212,0.4864321291914882,47.45185323986736,0.4474776985288911,19977.0,7.956
0,72.20295122261456,0.3476348707592168,70.21751235144237,0.4611956070055641,50.61825273950212,0.4864321291914882,47.45185323986736,0.4474776985288911,19977.0,7.956
